asin,category,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
1495329321,Books,"[0, 0]",4,"Da Silva takes the divine by storm with this unique new novel.  She develops a world unlike any others while keeping it firmly in the real world.  This is a very well written and entertaining novel.  I was quite impressed and intrigued by the way that this solid storyline was developed, bringing the readers right into the world of the story.  I was engaged throughout and definitely enjoyed my time spent reading it.I loved the character development in this novel.  Da Silva creates a cast of high school students who actually act like high school students.  I really appreciated the fact that none of them were thrown into situations far beyond their years, nor did they deal with events as if they had decades of life experience under their belts.  It was very refreshing and added to the realism and impact of the novel.  The friendships between the characters in this novel were also truly touching.Overall, this novel was fantastic.  I can&#8217;t wait to read more and to find out what happens next in the series.  I&#8217;d definitely recommend this debut novel by Da Silva to those who want a little YA fun with a completely unique & shocking storyline.Please note that I received a complimentary copy of this work in exchange for an honest review.","03 30, 2014",A1E5ZR1Z4OQJG,"Pure Jonel ""Pure Jonel""",An amazing first novel,1396137600
0399157565,Books,"[0, 0]",2,"For me personally it's the most disappointing book I have ready re: Kay Scarpetta. I generally can't put a Cornwell book down, but I had to force myself to keep reading it. Hard to stay focused when half a book describes approximately 4-6 hours.","05 15, 2014",A30PZPI6FPH0A7,Jackmollie,disappointed,1400112000
0984528105,Books,"[0, 0]",4,"Very simple book, but leaves you feeling good.  No over the top sex scenes, no graphic violence.  Just a simple book that talks touches on child abuse and dysfunction in a family.  I liked it because the author did not go into graphic detail about the abuse, but instead focused how it affected the people involved.  Good story, good characters.","05 28, 2014",A1GQ2UI5BKCCRD,Gail Hodges,Good book,1401235200
0804139024,Books,"[0, 0]",5,"I read a library copy of this exceptionally well-written novel, and bought it as a gift for my son-in-law (a theoretical particle physicist) who is hard to buy for.  This is a thriller, with problems and solutions unfolding one after another, and overlapping.  There is science (always explained) and there is humor.  It's been a while since I read a book I enjoyed so much.","04 3, 2014",A2DF4LQQI6KSQ2,Olga,Science Fiction at its best!,1396483200
0765317583,Books,"[0, 0]",5,With the government knowing this could happen and not telling anyone then this is a good story of what would happen if an emp attack happened.,"04 9, 2014",A1UAMAWY966P2,Nadyne M Ichimura,Excellent story,1397001600
0606238409,Books,"[0, 0]",4,"Love the book, great story line, keeps you entertained.for a first novel from this author she did a great job,  Would definitely recommend!","01 20, 2014",A37XLAHHT78YAP,Amazon Customer,great book!,1390176000
B00FJKDYWW,Books,"[1, 1]",5,A well written fast paced story with twists and surprises around every corner and of course a wonderful love story too.,"05 9, 2014",AUXAGCDGL3RZP,merman,Another Winner!,1399593600
0060781939,Books,"[0, 0]",4,"It was good....there is a lot going on with multiple characters, I guess setting up for the whole series and introducing the upcoming leading Duchesses.","04 16, 2014",ATT15IFF1UBAQ,"A. Nuhanovic ""AlNuhano""",Very fast paced,1397606400
1495307352,Books,"[0, 0]",5,"I sit here, in tears.  I don't even know what to say.  Never have I ever read anything like this.  How does it end here?  My heart is broken, but it's full.  I don't know that I will ever be able to read this book again, but it know that I will never, ever forget it.  Do I recommend this book? Absolutely.  And no,  I don't.  Nothing is what it seemed and I am sitting here, thinking, what am I supposed to do now.  The ending is perfect.  The ending is horrible and I want something different. I read for entertainment.  To be happy or frightened or whatever emotion.  Right now, there are too many conflicting emotions.  I'm glad I read this book, but I wish I had never picked it up.  I haven't check to see if there is going to be more to the story, because I don't want to hope, then again I don't want to changeWhat happens.  Basically, I am a confused mess.  And I love it.","01 14, 2014",A3DIRR3JME6UPQ,Shugabean,What just happened??,1389657600
1492254398,Books,"[1, 1]",5,"Loved it! Could not put it down! The only thing worse than having a deadly stalker, is that no one believes that you have a deadly stalker. Skye Sullivan KNOWS that someone ran her off the road and ended her dancing career. So how does she prove it? Trace, the man Skye has loved since she was 15 years old, is now a prime suspect. Now what? This book has you guessing all the way to the shocking end! Nicely Done!","03 30, 2014",A3I7EO9OU6YAY,whitfield25,A Real Page Turner!,1396137600
1250000971,Books,"[0, 0]",5,Great read!  Can't wait to start the next installment.  Enjoyed this installment as much as the first.  sometimes got a little confused on sub character's names.,"06 6, 2014",AG80AJGQMMYNU,Amazon Customer,enjoyed,1402012800
1496101391,Books,"[0, 0]",3,I'm not sure what to say about this book. Interesting plot idea but poorly executed. I finished it and it wasn't the worst book ever but isn't something I would recommend to anyone. And not worth the $2.99 I paid for it.  Also needs some serious editing.,"03 25, 2014",A2L9YZC8GO8PCA,Amazon Customer,Ummmmm,1395705600
B00EBZMKXA,Books,"[0, 0]",4,"This is a prologue to his new book &#34;Innocence&#34;.  I don't know what the idea was behind separating this from the book.  Maybe is was to make a few extra dollars but for the cost, it was worth it.","01 4, 2014",A1UC9L30CZN5MF,John Schlegel,OK for a short story,1388793600
